palavra,coeficiente
excelente,5.603500703053395
antes,5.580150467140129
rápido,5.189067845288062
ótimo,5.133194764887688
parabéns,4.694265506614115
adorei,4.469998511277038
tudo,4.361259090779562
perfeito,4.3444210746431695
lindo,4.247855933253054
amei,4.195285270814731
bom,4.042703619322404
ótima,4.026265086779861
rápida,3.938282361062761
satisfeito,3.7278269629003584
obrigada,3.547612296328817
recomendo,3.518187774167191
otima,3.4536714299347713
boa,3.4224100970854914
antes prazo,3.3919075454695293
prazo,3.37584969499715
bem,3.3642029131413755
satisfeita,3.221922736280397
otimo,3.2053767083002267
certinho,3.1010189325761495
conforme,2.997969358472593
sempre,2.8200083379529786
entregue prazo,2.7791775051807646
bonito,2.739496313728715
certo,2.6926921598597886
maravilhoso,2.617197765378741
exatamente,2.56999267524748
top,2.52794684282352
dentro,2.5208988315356944
entrega rápida,2.5184914120987916
super,2.5081272518776325
testei,2.505994538198463
obrigado,2.4989423715290884
produto qualidade,2.492612635247668
pouco,2.457853109244797
correto,2.4554585203051236
linda,2.4419717666753513
rapida,2.430505619217484
gosto,2.388818821606306
ok,2.364193460190328
acordo,2.3493863353826376
rapidez,2.3293732342644398
rapido,2.316533020462658
antes data,2.312675003494812
show,2.2590259861105384
parabens,2.2494798011019173
péssima,-3.96827179117059
péssimo,-3.9279987028597336
comprei,-3.9266792978810865
ruim,-3.580401408859047
nao,-3.5363383254971965
recebi,-3.4682041859990576
inferior,-3.464860620089547
resposta,-3.327757870211204
diferente,-3.0735892459703895
aguardando,-2.9959705484279935
passou,-2.9444061006862787
contato,-2.9279627257141843
nenhuma,-2.916050806466553
quero,-2.766071008732152
baixa,-2.7118037129870443
absurdo,-2.6852938435460594
insatisfeita,-2.6787136581070405
estoque,-2.6314474110698125
produto,-2.6163761941350923
enviaram,-2.6159650201499054
dinheiro,-2.605660463063145
entregaram,-2.5727797570908
ninguém,-2.567076710290694
veio,-2.566013232865265
quebrado,-2.5448676050518206
retorno,-2.529794367506075
agora,-2.512180256952384
entregue,-2.493657138319112
infelizmente,-2.471260855467107
atrasada,-2.4651519130087247
paguei,-2.4227977346237766
falta,-2.404187500463807
nada,-2.397936691455959
pessima,-2.3719780707670344
saber,-2.365687508119156
momento,-2.3504874161774976
falsificado,-2.3503633756271443
demora,-2.347580620072748
pedi,-2.300724780838617
faltando,-2.3001942649229217
horrível,-2.2975616062722413
esperando,-2.2846428156379144
consigo,-2.268113213567898
aguardo,-2.244564719920329
receber,-2.2368249658430757
hoje,-2.2062199213129206
defeito,-2.1966245403853466
péssima qualidade,-2.137926264307096
ainda entregue,-2.088667043628187
baixa qualidade,-2.073592208598122
